index,code,areaName,cx,cy,region,Average size,Under 25,25-50,50+,ratio
300,E06000002,Middlesbrough,450380,516653,E12000001,2.341309615,33765,51312,57224,0.3470324729
301,E06000012,North East Lincolnshire,523749,406881,E12000003,2.225646607,31038,52887,71507,0.3471711267
302,E06000021,Stoke-on-Trent,389018,346716,E12000005,2.305114223,58416,94751,102172,0.3537236672
303,E06000005,Darlington,429038,517147,E12000001,2.183087364,21225,37336,48206,0.3543034038
304,E06000010,Kingston upon Hull,509765,430588,E12000003,2.270463835,61813,101419,100690,0.3551177982
305,W06000024,Merthyr Tydfil,306153,205467,W92000004,2.26401117,11859,20985,25396,0.355193857
306,E08000037,Gateshead,420364,560133,E12000001,2.171921348,38107,69487,86667,0.3634330168
307,E07000122,Pendle,387886,441045,E12000002,2.488782641,21200,34305,39143,0.3769309825
308,E06000001,Hartlepool,448118,530661,E12000001,2.233667237,19274,30743,41399,0.3799289128
309,W06000019,Blaenau Gwent,317699,208201,W92000004,2.192880686,12860,23189,30189,0.389290185
310,E06000047,County Durham,410446,533389,E12000001,2.166366359,109184,169087,239168,0.4159868475
311,E07000120,Hyndburn,374414,429238,E12000002,2.337184904,17889,29113,34341,0.444120761
312,E07000117,Burnley,385506,431414,E12000002,2.346383427,20396,34345,38858,0.4490990569
313,E06000053,Isles of Scilly,91546,11139,E12000009,2.152704136,598,1324,2158,#N/A
314,E07000026,Allerdale,319765,535836,E12000002,2.163331211,16998,29765,48552,#N/A
315,E07000027,Barrow-in-Furness,320831,470657,E12000002,2.138908439,13092,22731,30947,#N/A
316,E07000028,Carlisle,348339,564335,E12000002,2.147879123,20885,37178,50968,#N/A
317,E07000029,Copeland,310947,502927,E12000002,2.155087856,11911,21284,33269,#N/A
318,E07000030,Eden,359952,524354,E12000002,2.20769512,9102,15997,29232,#N/A
319,E07000031,South Lakeland,344716,488871,E12000002,2.136205305,17189,30345,56211,#N/A
320,E07000163,Craven,388715,464893,E12000003,2.156200852,9304,16585,30645,#N/A
321,E07000164,Hambleton,444420,488149,E12000003,2.195059187,15062,26208,48766,#N/A
322,E07000165,Harrogate,426573,463534,E12000003,2.2217117,30196,52157,79017,#N/A
323,E07000166,Richmondshire,404370,496225,E12000003,2.240116501,9849,15452,24030,#N/A
324,E07000167,Ryedale,475009,480011,E12000003,2.183079786,9120,15818,29355,#N/A
325,E07000168,Scarborough,488815,497619,E12000003,2.097646852,18349,31951,57549,#N/A
326,E07000169,Selby,457071,432688,E12000003,2.309360702,16842,32262,41943,#N/A
327,E07000187,Mendip,362056,144991,E12000009,2.262342672,21765,36575,56756,#N/A
328,E07000188,Sedgemoor,333465,143276,E12000009,2.29803536,23425,40029,60813,#N/A
329,E07000189,South Somerset,350246,121192,E12000009,2.238276466,31446,53891,85763,#N/A
330,E07000246,Somerset West and Taunton,304672,132836,E12000009,2.202640528,28180,49564,78302,#N/A
331,E09000001,City of London,532539,181164,E12000007,1.702889703,3384,8024,5662,#VALUE!
